,Unnamed: 0,paper_id,title,citation_count,author_names,author_ids,orignal_paper_id
15,9516,be5f6a576cda7e56bf2beef996685d111e9ebd7b,The Complexity of Flowshop and Jobshop Scheduling,2482,"['M. Garey', 'David S. Johnson', 'R. Sethi']","['145634459', '2150444582', '144281449']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
16,1374,450f9ba8739df00db0ef6c795bbce63c6cd5279e,Trapdoors for hard lattices and new cryptographic constructions,2208,"['Craig Gentry', 'Chris Peikert', 'V. Vaikuntanathan']","['145310230', '1706585', '1749858']",683c8f5c60916751bb23f159c86c1f2d4170e43f
17,9524,18199ef67e170ba4f379ab45a8cc2581994e9178,Some Simplified NP-Complete Graph Problems,2206,"['M. Garey', 'David S. Johnson', 'L. Stockmeyer']","['145634459', '2150444582', '1678332']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
18,8814,77f4328feaae852c33f985d219fc7d59a31001c7,Proof verification and hardness of approximation problems,2176,"['Sanjeev Arora', 'C. Lund', 'R. Motwani', 'M. Sudan', 'M. Szegedy']","['145563465', '144595468', '84095744', '1748838', '1686872']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
20,8854,2a078f34447498e5eff8e3922f076c24fdb26f4d,"Optimization, approximation, and complexity classes",1916,"['C. Papadimitriou', 'M. Yannakakis']","['144102674', '1748179']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
21,1216,1c8de70b95a22c5e13b5cbe0cadc6ba6a61b75a9,Fully Homomorphic Encryption over the Integers,1790,"['Marten van Dijk', 'Craig Gentry', 'S. Halevi', 'V. Vaikuntanathan']","['144534186', '145310230', '1808458', '1749858']",683c8f5c60916751bb23f159c86c1f2d4170e43f
22,7597,121e53ccc22cbf6aa453a221fcde294b1fcffe60,Expander Graphs and their Applications,1788,['N. Linial'],['1722243'],9fb53a3bdfb47230eeaf7d956b1a238db5cba690
23,2011,d4d2b30a290228436c570c5d274e8202f45a6988,Entity Authentication and Key Distribution,1765,"['M. Bellare', 'P. Rogaway']","['1703441', '1719446']",683c8f5c60916751bb23f159c86c1f2d4170e43f
25,1935,1b8e7efdb97ff191530970a9685c6f4bed89644b,NTRU: A Ring-Based Public Key Cryptosystem,1756,"['J. Hoffstein', 'J. Pipher', 'J. Silverman']","['1719139', '145936852', '5648017']",683c8f5c60916751bb23f159c86c1f2d4170e43f
26,1986,86bb5811e8eb8c835e2b942f7e45530b87856561,Software protection and simulation on oblivious RAMs,1702,['R. Ostrovsky'],['1748224'],683c8f5c60916751bb23f159c86c1f2d4170e43f
27,1544,79c3d47211de34fec3dc4e69572955163561c5f4,Improved proxy re-encryption schemes with applications to secure distributed storage,1609,"['G. Ateniese', 'Kevin Fu', 'M. Green', 'S. Hohenberger']","['1700850', '144070916', '144885069', '1808829']",683c8f5c60916751bb23f159c86c1f2d4170e43f
29,1913,5a5a83c21070e5cbbcb81d7e10dcc32752972005,A Pseudorandom Generator from any One-way Function,1577,"['J. Håstad', 'R. Impagliazzo', 'L. Levin', 'M. Luby']","['1689438', '1735759', '27941605', '145881044']",683c8f5c60916751bb23f159c86c1f2d4170e43f
31,1924,6505a0d90ac051e9afb09893c930a3f968ce1405,A Practical Public Key Cryptosystem Provably Secure Against Adaptive Chosen Ciphertext Attack,1511,"['R. Cramer', 'V. Shoup']","['145100790', '1741494']",683c8f5c60916751bb23f159c86c1f2d4170e43f
32,1818,e56f9dc2ef53c9479d3d94f593b66a40e6dba52b,Analysis of Key-Exchange Protocols and Their Use for Building Secure Channels,1498,"['R. Canetti', 'H. Krawczyk']","['1749530', '4451238']",683c8f5c60916751bb23f159c86c1f2d4170e43f
33,8903,3948999387bd0d15950c1bb904fb51006e81a0d9,Unit disk graphs,1479,"['Brent N. Clark', 'C. Colbourn', 'David S. Johnson']","['21738042', '1809509', '2150444582']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
34,605,6bcd2606c8f0099a82bd03e520659058a5b12e51,Proofs that yield nothing but their validity or all languages in NP have zero-knowledge proof systems,1449,"['Oded Goldreich', 'S. Micali', 'A. Wigderson']","['1707322', '1689467', '1718867']",f9b4a25845d741076f189480143af29f7b195373
35,2971,d1ce47c53cc2cec75cb148d799eb396e54d8109b,The Foundations of Cryptography - Volume 2: Basic Applications,1438,['Oded Goldreich'],['1707322'],683c8f5c60916751bb23f159c86c1f2d4170e43f
36,9548,c47372d235312f9f1d99b7c6f03b4fac0234bf3e,NP-Complete Scheduling Problems,1418,['J. Ullman'],['1742391'],9fb53a3bdfb47230eeaf7d956b1a238db5cba690
38,1794,0fb04263097aa8a4beb458c6e1bdeea00a27ea6d,On the (im)possibility of obfuscating programs,1388,"['B. Barak', 'Oded Goldreich', 'R. Impagliazzo', 'S. Rudich', 'A. Sahai', 'S. Vadhan', 'Ke Yang']","['1697211', '1707322', '1735759', '48453169', '1695851', '1723744', '143781496']",683c8f5c60916751bb23f159c86c1f2d4170e43f
39,9493,3855bd8f0fd73073835618eb60e478dee8154196,The Polynomial-Time Hierarchy,1347,['L. Stockmeyer'],['1678332'],9fb53a3bdfb47230eeaf7d956b1a238db5cba690
41,1854,1b7f8752c24da7b0b90f29e602c646f7d35a3f91,"The random oracle methodology, revisited",1305,"['R. Canetti', 'Oded Goldreich', 'S. Halevi']","['1749530', '1707322', '1808458']",683c8f5c60916751bb23f159c86c1f2d4170e43f
42,127,47f1a4a984a1b9d20ba7b5fe0c5d637a84252bbb,Computational Complexity,1304,"['L. Fortnow', 'Steven Homer']","['1691447', '2271138170']",f9b4a25845d741076f189480143af29f7b195373
43,9509,17d87b9ac0bedad64489022ef415df05829843ad,Algorithmic Aspects of Vertex Elimination on Graphs,1266,"['D. Rose', 'R. Tarjan', 'G. S. Lueker']","['34577797', '1721050', '1811309']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
46,1798,4b85ef5a3b7a9948ca6558fdb3b87bccf5d5bb63,Revocation and Tracing Schemes for Stateless Receivers,1233,"['D. Naor', 'M. Naor', 'J. Lotspiech']","['39936732', '1693267', '1806666']",683c8f5c60916751bb23f159c86c1f2d4170e43f
47,9274,8d9b83d213b172582fcdb930ebe3d33ada3c5a8e,Complexity of vehicle routing and scheduling problems,1219,"['J. Lenstra', 'A. Kan']","['1997069', '145071526']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
50,1959,5769b98d789bb58ed2261bff516f56fcc4e4e28b,A concrete security treatment of symmetric encryption,1136,"['M. Bellare', 'Anand Desai', 'E. Jokipii', 'P. Rogaway']","['1703441', '2053097681', '1918202', '1719446']",683c8f5c60916751bb23f159c86c1f2d4170e43f
51,1836,512e08451eb0d805c77b86e5821560f3b7dec565,Authenticated Encryption: Relations among Notions and Analysis of the Generic Composition Paradigm,1121,"['M. Bellare', 'C. Namprempre']","['1703441', '1802411']",683c8f5c60916751bb23f159c86c1f2d4170e43f
52,9518,b823846c6c8f1861424256467086ecec3fcd4693,Constructing Optimal Binary Decision Trees is NP-Complete,1108,"['L. Hyafil', 'R. Rivest']","['3235476', '2113911099']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
54,9457,fc26580fd64c959959793cb84420f98e3606d148,The Rectilinear Steiner Tree Problem is NP Complete,1087,"['M. Garey', 'David S. Johnson']","['145634459', '2150444582']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
55,2038,75a1fa3fda8ed5394eed646ed140f798aec4a131,Public-key cryptosystems provably secure against chosen ciphertext attacks,1084,"['M. Naor', 'M. Yung']","['1693267', '144068857']",683c8f5c60916751bb23f159c86c1f2d4170e43f
56,1653,0af6383c9526d26e4a2c78cf884d220b0ca2625e,Chosen-Ciphertext Security from Identity-Based Encryption,1078,"['D. Boneh', 'R. Canetti', 'S. Halevi', 'Jonathan Katz']","['1752788', '1749530', '1808458', '143975296']",683c8f5c60916751bb23f159c86c1f2d4170e43f
57,8348,9890872be74f12000ad64406917f47b00919555c,Polynomial time approximation schemes for Euclidean traveling salesman and other geometric problems,1070,['Sanjeev Arora'],['145563465'],9fb53a3bdfb47230eeaf7d956b1a238db5cba690
58,1884,cd9ae7c817ff251124cc723db7f3bae0b757bef6,Secure Integration of Asymmetric and Symmetric Encryption Schemes,1035,"['E. Fujisaki', 'T. Okamoto']","['1932673', '1708176']",683c8f5c60916751bb23f159c86c1f2d4170e43f
59,2045,6408da99821c21af047c930df7cb5062a334950a,Universal one-way hash functions and their cryptographic applications,1023,"['M. Naor', 'M. Yung']","['1693267', '144068857']",683c8f5c60916751bb23f159c86c1f2d4170e43f
61,2029,148279ab6cd43b196997741e91a9082a39517c41,Non-malleable cryptography,1018,"['D. Dolev', 'C. Dwork', 'M. Naor']","['1740191', '1781565', '1693267']",683c8f5c60916751bb23f159c86c1f2d4170e43f
62,1923,da8852b98a0b834103dbe116e1f964af5153e4ed,Relations among Notions of Security for Public-Key Encryption Schemes,1011,"['M. Bellare', 'Anand Desai', 'D. Pointcheval', 'P. Rogaway']","['1703441', '2053097681', '1736322', '1719446']",683c8f5c60916751bb23f159c86c1f2d4170e43f
67,2926,90121e5f24c1392c00dadb7e5b6233bac41954a7,Design and Analysis of Practical Public-Key Encryption Schemes Secure against Adaptive Chosen Ciphertext Attack,965,"['R. Cramer', 'V. Shoup']","['145100790', '1741494']",683c8f5c60916751bb23f159c86c1f2d4170e43f
68,8675,67762ce2c7a85dbf55cdf86fedee2610229d91eb,On the hardness of approximating minimization problems,961,"['C. Lund', 'M. Yannakakis']","['144595468', '1748179']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
69,2048,f9b4a25845d741076f189480143af29f7b195373,Hardness vs. randomness,956,"['N. Nisan', 'A. Wigderson']","['1689609', '1718867']",683c8f5c60916751bb23f159c86c1f2d4170e43f
70,1134,c7a31ee1240a1e463d74f447dc11c930ce098543,Functional Encryption: Definitions and Challenges,899,"['D. Boneh', 'A. Sahai', 'Brent Waters']","['1752788', '1695851', '145778768']",683c8f5c60916751bb23f159c86c1f2d4170e43f
71,1300,fb7568c51c6dbdb6cd4e43b7980c19d906ef1bec,Public-key cryptosystems from the worst-case shortest vector problem: extended abstract,894,['Chris Peikert'],['1706585'],683c8f5c60916751bb23f159c86c1f2d4170e43f
73,2895,d63c80e9c30bda56c1718d58867ccffe7df07240,Sequences of games: a tool for taming complexity in security proofs,879,['V. Shoup'],['1741494'],683c8f5c60916751bb23f159c86c1f2d4170e43f
75,1157,d31c6cfe8d2bc8bd6cfc70d8f2342bb0cfb35bad,A firm foundation for private data analysis,867,['C. Dwork'],['1781565'],683c8f5c60916751bb23f159c86c1f2d4170e43f
76,9593,167ff88fbcad256710c2bbee906c33f2bb420310,Word problems requiring exponential time(Preliminary Report),847,"['L. Stockmeyer', 'A. Meyer']","['1678332', '39792203']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
78,1431,f722bf03d76056cdc2b227e1f2b54d690c42e435,Deterministic and Efficiently Searchable Encryption,824,"['M. Bellare', 'A. Boldyreva', ""Adam O'Neill""]","['1703441', '1774534', '1402733230']",683c8f5c60916751bb23f159c86c1f2d4170e43f
79,1992,4f38045481a8d79ae47bc0aeca8a1313fc066459,Proactive Secret Sharing Or: How to Cope With Perpetual Leakage,818,"['A. Herzberg', 'Stanislaw Jarecki', 'H. Krawczyk', 'M. Yung']","['1748437', '1720978', '4451238', '144068857']",683c8f5c60916751bb23f159c86c1f2d4170e43f
80,620,0a385cf3c6eb2826b136d4fae192dec526069547,Small-bias probability spaces: efficient constructions and applications,813,"['J. Naor', 'M. Naor']","['1751440', '1693267']",f9b4a25845d741076f189480143af29f7b195373
82,2044,61ea8ecb6d08e44f7d8c3681d755260a6a0f77d7,Pseudo-random generation from one-way functions,794,"['R. Impagliazzo', 'L. Levin', 'M. Luby']","['1735759', '27941605', '145881044']",683c8f5c60916751bb23f159c86c1f2d4170e43f
84,1527,400251fab502adf5a8ecdf6e5ba7d522bfe5cf1a,The Security of Triple Encryption and a Framework for Code-Based Game-Playing Proofs,776,"['M. Bellare', 'P. Rogaway']","['1703441', '1719446']",683c8f5c60916751bb23f159c86c1f2d4170e43f
86,7832,0b680813894f41339855e968fb4a638b20a82da8,Optimal inapproximability results for MAX-CUT and other 2-variable CSPs?,766,"['Guy Kindler', ""R. O'Donnell"", 'Subhash Khot', 'Elchanan Mossel']","['2523903', '1410077373', '144336679', '1688109']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
87,626,6072c6734cc6911bdf4b260f16a2e6253e64897b,"Constant depth circuits, Fourier transform, and learnability",756,"['N. Linial', 'Y. Mansour', 'N. Nisan']","['1722243', '144830983', '1689609']",f9b4a25845d741076f189480143af29f7b195373
88,945,4aa9db8cb5f19d2f14e8dd2b70cb9a1215d0b0fa,Message-Locked Encryption and Secure Deduplication,755,"['M. Bellare', 'S. Keelveedhi', 'Thomas Ristenpart']","['1703441', '2052039', '1707461']",683c8f5c60916751bb23f159c86c1f2d4170e43f
89,1720,f7436413447dac05d1c37faf59cb0847422c0c01,"Foundations of Group Signatures: Formal Definitions, Simplified Requirements, and a Construction Based on General Assumptions",741,"['M. Bellare', 'Daniele Micciancio', 'B. Warinschi']","['1703441', '1803836', '1800136']",683c8f5c60916751bb23f159c86c1f2d4170e43f
90,1760,023b9c52656ff3d5333838c6ca151577fafb10fb,Universally composable two-party and multi-party secure computation,735,"['R. Canetti', 'Yehuda Lindell', 'R. Ostrovsky', 'A. Sahai']","['1749530', '1682750', '1748224', '1695851']",683c8f5c60916751bb23f159c86c1f2d4170e43f
91,1786,5d6d645e9613e674cecf6c7aa73af82113b668a7,OCB: a block-cipher mode of operation for efficient authenticated encryption,713,"['P. Rogaway', 'M. Bellare', 'J. Black', 'Ted Krovetz']","['1719446', '1703441', '2069385566', '1808963']",683c8f5c60916751bb23f159c86c1f2d4170e43f
92,1960,d18a4b8b81036be107ffc106153feea5808d4cdd,Number-theoretic constructions of efficient pseudo-random functions,713,"['M. Naor', 'Omer Reingold']","['1693267', '1746057']",683c8f5c60916751bb23f159c86c1f2d4170e43f
97,919,7b630784aea1b5bb2ba90063b78fe14e539aa85e,DupLESS: Server-Aided Encryption for Deduplicated Storage,677,"['S. Keelveedhi', 'M. Bellare', 'Thomas Ristenpart']","['2052039', '1703441', '1707461']",683c8f5c60916751bb23f159c86c1f2d4170e43f
98,1995,ca7ecb6e0625bb175bda5eb0655ca609b6b5a6f9,Provably secure session key distribution: the three party case,671,"['M. Bellare', 'P. Rogaway']","['1703441', '1719446']",683c8f5c60916751bb23f159c86c1f2d4170e43f
99,1940,0b51b0acf1f2025fb95c65072a0905c309e02858,Optimistic fair exchange of digital signatures,668,"['N. Asokan', 'V. Shoup', 'M. Waidner']","['144836615', '1741494', '2068724754']",683c8f5c60916751bb23f159c86c1f2d4170e43f
100,1903,3211b62ff2cd50f5af17ef8f0fbc2414952f8d20,Computationally Private Information Retrieval with Polylogarithmic Communication,667,"['C. Cachin', 'S. Micali', 'M. Stadler']","['3142068', '1689467', '6837551']",683c8f5c60916751bb23f159c86c1f2d4170e43f
101,612,eec7b042f6f949ef25e9623fc374e7133f203c1c,A Catalog of Complexity Classes,665,['David S. Johnson'],['2150444582'],f9b4a25845d741076f189480143af29f7b195373
102,1862,1d13d758485f3ecc43e3711bd46d3e435065eb4d,Reconciling Two Views of Cryptography (The Computational Soundness of Formal Encryption)*,665,"['M. Abadi', 'P. Rogaway']","['145832079', '1719446']",683c8f5c60916751bb23f159c86c1f2d4170e43f
103,9575,1141ff370d51c25ae17709ae9131097313215e18,Some simplified NP-complete problems,657,"['M. Garey', 'David S. Johnson', 'L. Stockmeyer']","['145634459', '2150444582', '1678332']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
104,1948,3cea4571f918bd9de3f658261fab360d62efb3ca,"The random oracle methodology, revisited (preliminary version)",654,"['R. Canetti', 'Oded Goldreich', 'S. Halevi']","['1749530', '1707322', '1808458']",683c8f5c60916751bb23f159c86c1f2d4170e43f
106,7746,247f9fc1d062872de8ab827d1e229b56d74c9be0,On the hardness of approximating minimum vertex cover,649,"['Irit Dinur', 'S. Safra']","['1699356', '1697937']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
107,1232,54c8b753713406c28c03ba0048e7e9a2236bca90,Computing arbitrary functions of encrypted data,647,['Craig Gentry'],['145310230'],683c8f5c60916751bb23f159c86c1f2d4170e43f
108,8900,bcb7c38948ecfb5c81316ffd2a949c9c20f2bdaf,Checking computations in polylogarithmic time,646,"['L. Babai', 'L. Fortnow', 'L. Levin', 'M. Szegedy']","['1794932', '1691447', '27941605', '1686872']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
109,1873,245a28316264b23073a144278bd46fc4f7ef9852,Multiparty Computation from Threshold Homomorphic Encryption,631,"['R. Cramer', 'I. Damgård', 'J. Nielsen']","['145100790', '1729265', '145078487']",683c8f5c60916751bb23f159c86c1f2d4170e43f
110,836,78b06e159b0428c9afe0d2e7fd7c3523ba73176a,"How to use indistinguishability obfuscation: deniable encryption, and more",630,"['A. Sahai', 'Brent Waters']","['1695851', '145778768']",683c8f5c60916751bb23f159c86c1f2d4170e43f
111,1680,1a438164c1ca074c40baa6c3279cb5e0c573313e,"Cryptographic Hash-Function Basics: Definitions, Implications, and Separations for Preimage Resistance, Second-Preimage Resistance, and Collision Resistance",629,"['P. Rogaway', 'Thomas Shrimpton']","['1719446', '8644086']",683c8f5c60916751bb23f159c86c1f2d4170e43f
112,1980,419c275ad51c7f048563765a37cb02070d9a7fee,Public-Key Cryptosystems from Lattice Reduction Problems,619,"['Oded Goldreich', 'S. Goldwasser', 'S. Halevi']","['1707322', '1706681', '1808458']",683c8f5c60916751bb23f159c86c1f2d4170e43f
113,2060,c2fb93cb1b830eb47af5bba0e87a5be3c53550fd,Proofs that yield nothing but their validity and a methodology of cryptographic protocol design,614,"['Oded Goldreich', 'S. Micali', 'A. Wigderson']","['1707322', '1689467', '1718867']",683c8f5c60916751bb23f159c86c1f2d4170e43f
114,1373,0695cf9615862cb0a5db9301b7221bfced4f9980,Lossy trapdoor functions and their applications,609,"['Chris Peikert', 'Brent Waters']","['1706585', '145778768']",683c8f5c60916751bb23f159c86c1f2d4170e43f
116,1764,2cae3e9f86e99c136ced97d9da6a574bb207595f,Universally Composable Notions of Key Exchange and Secure Channels,606,"['R. Canetti', 'H. Krawczyk']","['1749530', '4451238']",683c8f5c60916751bb23f159c86c1f2d4170e43f
117,8584,3cb9f6ff3d9301e59120a1b28a4a6ce3f33cacdf,"Free bits, PCPs and non-approximability-towards tight results",604,"['M. Bellare', 'Oded Goldreich', 'M. Sudan']","['1703441', '1707322', '1748838']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
118,1763,833f7d86cfe525413c80fe9973ca0ae9a0bbe68d,On the Security of Joint Signature and Encryption,596,"['Jee Hea An', 'Y. Dodis', 'T. Rabin']","['3357483', '1776839', '1693109']",683c8f5c60916751bb23f159c86c1f2d4170e43f
120,9206,7580f05519298f3142f9b040d351bff2dce0de26,The complexity of the word problems for commutative semigroups and polynomial ideals,586,"['E. Mayr', 'A. Meyer']","['1723045', '39792203']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
121,9426,384df255a701752fd8de9e75d99e891b604193cd,Complexity of Scheduling under Precedence Constraints,580,"['J. Lenstra', 'A. Kan']","['1997069', '145071526']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
122,9456,1b76236b9fe54db3ed210ad00138a5674a54d4e6,The Complexity of Computing Steiner Minimal Trees,577,"['M. Garey', 'R. Graham', 'David S. Johnson']","['145634459', '144143284', '2150444582']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
123,562,3ea11e4ee041e42142b7b038137881410d7a53dd,P = BPP if E requires exponential circuits: derandomizing the XOR lemma,576,"['R. Impagliazzo', 'A. Wigderson']","['1735759', '1718867']",f9b4a25845d741076f189480143af29f7b195373
124,1880,9c3e71544f7eb98fa2b885997643d27ee363d924,Non-malleable non-interactive zero knowledge and adaptive chosen-ciphertext security,574,['A. Sahai'],['1695851'],683c8f5c60916751bb23f159c86c1f2d4170e43f
128,831,3181b9ce21265bbf8175314714e1535f75b3d80f,(Leveled) Fully Homomorphic Encryption without Bootstrapping,555,"['Zvika Brakerski', 'Craig Gentry', 'V. Vaikuntanathan']","['1780678', '145310230', '1749858']",683c8f5c60916751bb23f159c86c1f2d4170e43f
132,1891,4ac19d17ffbaa5430a22fa09bf236ffcb2b0457e,Pseudonym Systems,548,"['Anna Lysyanskaya', 'R. Rivest', 'A. Sahai', 'S. Wolf']","['1783286', '2113911099', '1695851', '145475103']",683c8f5c60916751bb23f159c86c1f2d4170e43f
134,1603,cc5a1a9f13afec2c79174e3baaceace1cf5bbeb2,Foundations of Group Signatures: The Case of Dynamic Groups,544,"['M. Bellare', 'Haixia Shi', 'Chong Zhang']","['1703441', '2112498044', '2111387812']",683c8f5c60916751bb23f159c86c1f2d4170e43f
135,9573,02b7a64d612db7c4a7b03289bdd60738d672ead1,Fast Algorithms for Bin Packing,539,['David S. Johnson'],['2150444582'],9fb53a3bdfb47230eeaf7d956b1a238db5cba690
136,2061,f317f43124c17fd2b2f4286a33395325532792ea,Secret Sharing Homomorphisms: Keeping Shares of A Secret Sharing,538,['Josh Benaloh'],['144681789'],683c8f5c60916751bb23f159c86c1f2d4170e43f
137,9247,66d113358adef873f6f9f32ecadeca246e2a7dd6,Bin packing can be solved within 1 + ε in linear time,537,"['W. F. D. L. Vega', 'G. S. Lueker']","['1684201', '1811309']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
138,8509,e06ac0f6c8a8f18726ab7b1b029d5dc2cbf9eaa9,Polynomial time approximation schemes for Euclidean TSP and other geometric problems,533,['Sanjeev Arora'],['145563465'],9fb53a3bdfb47230eeaf7d956b1a238db5cba690
139,466,15400730c04b3d4c3d93024ff866aa4a1db09377,Derandomizing Polynomial Identity Tests Means Proving Circuit Lower Bounds,531,"['Valentine Kabanets', 'R. Impagliazzo']","['2347317', '1735759']",f9b4a25845d741076f189480143af29f7b195373
142,997,646913a2c744da069dd85ccbbed34588362f7537,Foundations of garbled circuits,528,"['M. Bellare', 'V. Hoang', 'P. Rogaway']","['1703441', '39869181', '1719446']",683c8f5c60916751bb23f159c86c1f2d4170e43f
145,1868,f6bfabcc8120e36b1a197f8493ef037b6eea929b,Public-Key Encryption in a Multi-user Setting: Security Proofs and Improvements,513,"['M. Bellare', 'A. Boldyreva', 'S. Micali']","['1703441', '1774534', '1689467']",683c8f5c60916751bb23f159c86c1f2d4170e43f
147,600,70241a36425f30a558bf57bbeae5b52851a59e91,Pseudorandom generators for space-bounded computation,509,['N. Nisan'],['1689609'],f9b4a25845d741076f189480143af29f7b195373
149,1243,933ba7a063598c4448e50c99f28fc6554bebdea7,Achieving the Secrecy Capacity of Wiretap Channels Using Polar Codes,506,"['Hessam Mahdavifar', 'A. Vardy']","['51174452', '1688009']",683c8f5c60916751bb23f159c86c1f2d4170e43f
150,1998,f056118f41849a3688634e1f2fc73108fc660435,Definitions and properties of zero-knowledge proof systems,503,"['Oded Goldreich', 'Yair Oren']","['1707322', '2074060752']",683c8f5c60916751bb23f159c86c1f2d4170e43f
151,9332,0df73f3939d60578b09d59ac0d1d7c0dbdb53c6e,The Node-Deletion Problem for Hereditary Properties is NP-Complete,501,"['John M. Lewis', 'M. Yannakakis']","['2116915376', '1748179']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
153,8736,db3d84d8d08d77e82d1115c825363ca8d27a70a8,"The hardness of approximate optima in lattices, codes, and systems of linear equations",495,"['Sanjeev Arora', 'L. Babai', 'J. Stern', 'E. Sweedyk']","['145563465', '1794932', '143836953', '2033481']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
154,1746,5608eec85d4de48d7516e14adbbeb500b9ca5e5e,Authenticated-encryption with associated-data,492,['P. Rogaway'],['1719446'],683c8f5c60916751bb23f159c86c1f2d4170e43f
155,3079,d2cdc2edaad1de71c43a98628e1f923fb3ad9ab7,Optimal Asymmetric Encryption-How to Encrypt with RSA,488,['M. Bellare'],['1703441'],683c8f5c60916751bb23f159c86c1f2d4170e43f
156,1323,81c0b699fb0a86245bb24934374b8612095174a1,Simultaneous Hardcore Bits and Cryptography against Memory Attacks,488,"['Adi Akavia', 'S. Goldwasser', 'V. Vaikuntanathan']","['2588206', '1706681', '1749858']",683c8f5c60916751bb23f159c86c1f2d4170e43f
